PhoneName, DownPayment, PhonePrice, NoOfInstallments, DeviceURL
Samsung Galaxy S20 5G, $0.00 down ,$31.67,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-S20-5G?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy S20+ 5G, $0.00 down ,$40.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-S20-Plus-5G?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy S20 Ultra 5G, $0.00 down ,$49.17,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-S20-Ultra-5G?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy Z Flip, $0.00 down ,$60.84,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-Z-Flip?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone XS, $0.00 down ,$30.00,24 monthly payments,https://www.bell.ca/Mobility/Products/IPhone-XS?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone 11, $0.00 down ,$30.21,24 monthly payments,https://www.bell.ca/Mobility/Products/iPhone-11?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy S10+, $0.00 down ,$26.25,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-S10-Plus?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy S10, $0.00 down ,$11.67,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-S10?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone XR, $0.00 down ,$34.17,24 monthly payments,https://www.bell.ca/Mobility/Products/iPhone-XR?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Google Pixel 4 XL, $0.00 down ,$30.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Google-Pixel-4-XL?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone 11 Pro, $0.00 down ,$40.21,24 monthly payments,https://www.bell.ca/Mobility/Products/IPhone-11-Pro?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Huawei P30 Pro, $0.00 down ,$30.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Huawei-P30-Pro?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone 11 Pro Max, $0.00 down ,$46.05,24 monthly payments,https://www.bell.ca/Mobility/Products/IPhone-11-Pro-Max?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Google Pixel 4, $0.00 down ,$20.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Google-Pixel-4?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy Note10+, $0.00 down ,$32.92,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-Note10-plus?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
LG G8XThinQ Dual Screen, $0.00 down ,$15.83,24 monthly payments,https://www.bell.ca/Mobility/Products/LG-G8X-ThinQ-Dual-Screen?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy S10e, $0.00 down ,$20.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-S10e?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Huawei P30, $0.00 down ,$20.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Huawei-P30?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Huawei P30 lite, $0.00 down ,$1.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Huawei-P30-lite?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy A70, $0.00 down ,$15.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-A70?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy A50, $0.00 down ,$10.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-A50?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone 8, $0.00 down ,$25.63,24 monthly payments,https://www.bell.ca/Mobility/Products/Apple-iPhone-8?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Huawei Mate 20 Pro, $0.00 down ,$20.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Huawei-Mate-20-Pro?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy S9, $0.00 down ,$1.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-S9?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone XS Max, $0.00 down ,$59.38,24 monthly payments,https://www.bell.ca/Mobility/Products/iPhone-XS-Max?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Google Pixel 3a, $0.00 down ,$10.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Google-Pixel-3a?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Google Pixel 3a XL, $0.00 down ,$15.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Google-Pixel-3a-XL?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
LG Q70, $0.00 down ,$15.00,24 monthly payments,https://www.bell.ca/Mobility/Products/LG-Q70?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
LG K30, $0.00 down ,$0.99,24 monthly payments,https://www.bell.ca/Mobility/Products/LG-K30?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
LG K20, $0.00 down ,$1.00,24 monthly payments,https://www.bell.ca/Mobility/Products/LG-K20?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone 8  Plus, $0.00 down ,$31.88,24 monthly payments,https://www.bell.ca/Mobility/Products/Apple-iPhone-8-Plus?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
iPhone 7, $0.00 down ,$1.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Apple-iPhone-7?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy A20, $0.00 down ,$5.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-A20?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
LG Q60, $0.00 down ,$1.00,24 monthly payments,https://www.bell.ca/Mobility/Products/LG-Q60?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Motorola One Vision, $0.00 down ,$22.92,24 monthly payments,https://www.bell.ca/Mobility/Products/Motorola-One-Vision?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
BlackBerry® KEY2, $0.00 down ,$33.34,24 monthly payments,https://www.bell.ca/Mobility/Products/BlackBerry-Key2?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Moto g7 Play, $0.00 down ,$1.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Motorola-Moto-G7-Play?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
Samsung Galaxy A10e, $0.00 down ,$1.00,24 monthly payments,https://www.bell.ca/Mobility/Products/Samsung-Galaxy-A10e?INT=MOB_mobdevpg_BTN_poplink_Mass_051016_mb_details
