PhoneName, DownPayment, NoOfInstallments, DeviceURL
LGG8X ThinQ™,on a 2-year Platinum plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/g8xlg/Black/128/TR18
SamsungGalaxy S20 5G,on a 2-year Diamond Plus plan.,$520,https://www.virginmobile.ca/en/phones/phone-details.html#!/s20/Blue/128/TR25
SamsungGalaxy S10,on a 2-year Platinum plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/s10galaxy/Black/128/TR18
AppleiPhone XR,on a 2-year Diamond plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/xriphone/White/64/TR20
HUAWEIP30 Lite,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/litep30huawei/Black/128/TR4
GooglePixel 3a,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/google3a/Black/64/TR4
SamsungGalaxy A20,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/a20/Black/32/TR4
HUAWEIP30,on a 2-year Platinum plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/p30huawei/Black/128/TR18
SamsungGalaxy S9,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/gs9/Grey/64/TR4
AppleiPhone 8,on a 2-year Diamond plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/8iphone/Grey/64/TR20
LGQ70,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/q70/Black/64/TR4
SamsungGalaxy A70,on a 2-year Gold plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/a70/Black/128/TR6
AppleiPhone 7,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/7iphone/Black/32/TR4
SamsungGalaxy S20+ 5G,on a 2-year Diamond Plus plan.,$780,https://www.virginmobile.ca/en/phones/phone-details.html#!/s20plus/Black/128/TR25
SamsungGalaxy S20 Ultra 5G,on a 2-year Diamond Plus plan.,$1050,https://www.virginmobile.ca/en/phones/phone-details.html#!/s20ultra/Grey/128/TR25
AppleiPhone 11 Pro,on a 2-year Diamond plan.,$615,https://www.virginmobile.ca/en/phones/phone-details.html#!/11applepro/midnightgreen/64/TR20
SamsungGalaxy A50,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/a50/Black/64/TR4
AppleiPhone XS,on a 2-year Diamond plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/xsiphone/Grey/64/TR20
SamsungGalaxy S10e,on a 2-year Platinum plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/s10e/Black/128/TR18
MotorolaOne Vision,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/onevision/Bronze/128/TR4
HUAWEIP30 Pro,on a 2-year Diamond plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/prop30huawei/Black/128/TR20
AppleiPhone 11,on a 2-year Diamond Plus plan.,$205,https://www.virginmobile.ca/en/phones/phone-details.html#!/iphone11/Green/64/TR25
GooglePixel 4 XL,on a 2-year Diamond plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/pixel4xl/White/64/TR20
GooglePixel 3a XL,on a 2-year Gold plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/pixel3axl/White/64/TR6
AppleiPhone 11 Pro Max,on a 2-year Diamond plan.,$745,https://www.virginmobile.ca/en/phones/phone-details.html#!/11promax/midnightgreen/64/TR20
HUAWEIMate 20 Pro,on a 2-year Platinum plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/mate20pro/Twilight/128/TR18
SamsungGalaxy Note10+,on a 2-year Diamond Plus plan.,$280,https://www.virginmobile.ca/en/phones/phone-details.html#!/notes10plus/Black/256/TR25
GooglePixel 4,on a 2-year Platinum plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/pixel4/Black/64/TR18
SamsungGalaxy S10+,on a 2-year Diamond Plus plan.,$40,https://www.virginmobile.ca/en/phones/phone-details.html#!/s10plus/Black/128/TR25
LGK30,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/k30lg/Grey/16/TR4
AppleiPhone 8 Plus,on a 2-year Diamond Plus plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/8plusiphone/Grey/64/TR25
MotorolaG7 Play,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/motog7play/Blue/32/TR4
ZTEZ557,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/z557bl/Black/8/TR4
SamsungGalaxy A10e,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/a10e/Black/32/TR4
LGX PowerTM 3,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/xpower3/Blue/16/TR4
LGK20,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/k20lg/Black/16/TR4
LGQ60,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/q60lg/Black/64/TR4
MotorolaMoto e6,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/e6moto/Black/16/TR4
ALCATEL1,on a 2-year Silver plan.,$0,https://www.virginmobile.ca/en/phones/phone-details.html#!/1alcatel/Black/8/TR4
